Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Status
faith-over-fear-hoodie,,,,,,,,Charcoal,,S,EDEN-FOF-HD-CHR-S,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-stone-front.jpg,11,"EDEN Faith Over Fear hoodie in stone, front",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-charcoal-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Charcoal,,M,EDEN-FOF-HD-CHR-M,800,,deny,manual,95.00,,TRUE,TRUE,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-stone-back.jpg,12,"EDEN Faith Over Fear hoodie in stone, back",,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-charcoal-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Charcoal,,L,EDEN-FOF-HD-CHR-L,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-charcoal-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Charcoal,,XL,EDEN-FOF-HD-CHR-XL,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-charcoal-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Charcoal,,2XL,EDEN-FOF-HD-CHR-2XL,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-charcoal-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Teal,,S,EDEN-FOF-HD-TEA-S,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-teal-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Teal,,M,EDEN-FOF-HD-TEA-M,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-teal-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Teal,,L,EDEN-FOF-HD-TEA-L,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-teal-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Teal,,XL,EDEN-FOF-HD-TEA-XL,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-teal-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Teal,,2XL,EDEN-FOF-HD-TEA-2XL,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-teal-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Blue,,S,EDEN-FOF-HD-BLU-S,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-blue-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Blue,,M,EDEN-FOF-HD-BLU-M,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-blue-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Blue,,L,EDEN-FOF-HD-BLU-L,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-blue-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Blue,,XL,EDEN-FOF-HD-BLU-XL,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-blue-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Blue,,2XL,EDEN-FOF-HD-BLU-2XL,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-blue-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Stone,,S,EDEN-FOF-HD-STN-S,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-stone-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Stone,,M,EDEN-FOF-HD-STN-M,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-stone-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Stone,,L,EDEN-FOF-HD-STN-L,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-stone-front.jpg,g,43.26,
faith-over-fear-hoodie,,,,,,,,Stone,,XL,EDEN-FOF-HD-STN-XL,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-stone-front.jpg,g,45.23,
faith-over-fear-hoodie,,,,,,,,Stone,,2XL,EDEN-FOF-HD-STN-2XL,800,,deny,manual,95.00,,TRUE,TRUE,,,,,,,https://raw.githubusercontent.com/vbelgrano09-lgtm/Eden/refs/heads/claude/eden-shopify-theme-d5ajsm/catalog/images/eden-hoodie-stone-front.jpg,g,45.23,
